data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);;
20181109;0,1146;3,7838;2,7401;0,4833;2,8674;2,5498;2,7457;4,2901;1,3347;3,7535;4,9221;0,1358;3,3222;0,1653;0,5751;3,102;0,4487;0,4175;0,5774;0,9206;2,1935;0,6866;1,0272;0,5583;0,0713;0,1864;0,265;1,0062;0,9053;0,0565;2,5767;5,2077;0,3352;0,5446;5,2124;218;218/A/NBP/2018
20181112;0,1153;3,8163;2,7461;0,4872;2,8892;2,5636;2,7595;4,2962;1,3351;3,7809;4,9027;0,1368;3,3497;0,1656;0,576;3,1019;0,451;0,4183;0,5782;0,9221;2,1966;0,6961;1,0344;0,5577;0,0717;0,1884;0,2655;1,0224;0,9114;0,0565;2,5765;5,2303;0,3361;0,5479;5,2429;219;219/A/NBP/2018
20181113;0,1159;3,8268;2,7531;0,4888;2,8912;2,5804;2,7659;4,2994;1,3326;3,7862;4,9325;0,1372;3,3535;0,1657;0,5762;3,0998;0,4498;0,4197;0,5792;0,9228;2,1982;0,6936;1,0363;0,5566;0,0721;0,1874;0,2639;1,0157;0,9124;0,0565;2,5839;5,2663;0,3373;0,55;5,264;220;220/A/NBP/2018
20181114;0,1155;3,8114;2,7404;0,4866;2,8787;2,5807;2,7578;4,2954;1,3302;3,7747;4,9424;0,1369;3,3466;0,1654;0,5757;3,0572;0,4473;0,418;0,5787;0,922;2,1962;0,6978;1,0319;0,5512;0,0716;0,1859;0,2641;1,0021;0,9083;0,0563;2,5775;5,2666;0,3355;0,5482;5,2617;221;221/A/NBP/2018
20181115;0,1154;3,8074;2,7668;0,4861;2,8795;2,5925;2,7634;4,297;1,3315;3,7814;4,8686;0,137;3,3572;0,1653;0,5758;3,0605;0,4469;0,4181;0,5789;0,9217;2,197;0,6984;1,0312;0,5579;0,0721;0,1871;0,2658;1,0061;0,9081;0,0571;2,594;5,2792;0,3362;0,5491;5,2515;222;222/A/NBP/2018
20181116;0,1148;3,7876;2,7484;0,4836;2,8761;2,5764;2,7508;4,295;1,3353;3,7608;4,8468;0,1364;3,3399;0,1652;0,5756;3,0591;0,4463;0,4182;0,5778;0,9208;2,196;0,7069;1,0198;0,5623;0,0718;0,1866;0,2664;1,0009;0,9035;0,0573;2,5922;5,2703;0,3347;0,5451;5,2493;223;223/A/NBP/2018
20181119;0,1151;3,784;2,767;0,4831;2,8748;2,5891;2,7581;4,3242;1,3448;3,7947;4,8701;0,1363;3,3586;0,1663;0,5795;3,0755;0,4484;0,4203;0,5822;0,9269;2,211;0,711;1,0217;0,5649;0,0721;0,1878;0,2708;1,0108;0,9032;0,0575;2,5936;5,2879;0,3359;0,545;5,2683;224;224/A/NBP/2018
20181120;0,115;3,79;2,7516;0,4839;2,8763;2,5948;2,7602;4,3314;1,3461;3,8171;4,8643;0,1365;3,3702;0,1663;0,5804;3,0763;0,4461;0,4199;0,5833;0,9278;2,2146;0,7107;1,0205;0,566;0,0723;0,1856;0,2688;1,0091;0,9046;0,0577;2,5977;5,2996;0,336;0,5459;5,2561;225;225/A/NBP/2018
20181121;0,1147;3,7829;2,7404;0,4831;2,8481;2,5819;2,7538;4,307;1,3392;3,8029;4,8353;0,1362;3,349;0,1657;0,5771;3,0546;0,4427;0,4169;0,5795;0,9234;2,2021;0,7056;1,0108;0,5632;0,0723;0,1859;0,2699;1,0068;0,9019;0,0574;2,5901;5,3081;0,3345;0,5453;5,2323;226;226/A/NBP/2018
